time,attacker,ability,toggle,level,target
00:03:49.253,hero_lone_druid,lone_druid_spirit_bear,cast,1,hero_lone_druid
00:03:52.520,hero_morphling,morphling_morph_agi,on,1,hero_morphling
00:04:12.891,hero_morphling,morphling_morph_agi,off,1,hero_morphling
00:05:10.612,hero_phoenix,phoenix_fire_spirits,cast,1,hero_phoenix
00:05:10.679,hero_dazzle,dazzle_poison_touch,cast,1,hero_phoenix
00:05:10.912,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:05:11.345,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:05:11.845,hero_dark_willow,dark_willow_bramble_maze,cast,1,hero_dark_willow
00:05:14.344,hero_morphling,morphling_morph_str,on,1,hero_morphling
00:05:14.678,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:05:14.844,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:05:17.210,hero_morphling,morphling_morph_str,off,1,hero_morphling
00:05:22.942,hero_morphling,morphling_morph_agi,on,1,hero_morphling
00:05:24.409,hero_morphling,morphling_morph_agi,off,1,hero_morphling
00:05:31.640,hero_lone_druid,seasonal_summon_cny_balloon,cast,1,hero_lone_druid
00:05:34.973,hero_lone_druid,seasonal_summon_cny_balloon,cast,1,hero_lone_druid
00:05:36.539,hero_lone_druid,seasonal_summon_cny_tree,cast,1,hero_lone_druid
00:05:50.002,hero_abaddon,abaddon_aphotic_shield,cast,1,hero_abaddon
00:05:52.802,hero_monkey_king,monkey_king_mischief,cast,1,hero_monkey_king
00:06:01.233,hero_phoenix,phoenix_fire_spirits,cast,1,hero_phoenix
00:06:01.433,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:06:05.598,hero_dazzle,seasonal_firecrackers,cast,1,hero_dazzle
00:06:06.365,hero_dazzle,seasonal_summon_cny_tree,cast,1,hero_dazzle
00:06:06.965,hero_morphling,morphling_morph_agi,on,1,hero_morphling
00:06:07.798,hero_dazzle,seasonal_firecrackers,cast,1,hero_dazzle
00:06:08.364,hero_morphling,morphling_morph_agi,off,1,hero_morphling
00:06:09.498,hero_dazzle,seasonal_firecrackers,cast,1,hero_dazzle
00:06:10.197,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:06:10.597,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:06:11.530,hero_dark_willow,dark_willow_bramble_maze,cast,1,hero_dark_willow
00:06:13.330,hero_dazzle,seasonal_summon_cny_tree,cast,1,hero_dazzle
00:06:15.896,hero_dazzle,seasonal_firecrackers,cast,1,hero_dazzle
00:06:17.296,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:06:17.762,hero_dazzle,seasonal_firecrackers,cast,1,hero_dazzle
00:06:18.762,hero_abaddon,abaddon_aphotic_shield,cast,1,hero_abaddon
00:06:19.295,hero_dazzle,seasonal_summon_cny_tree,cast,1,hero_dazzle
00:06:24.294,hero_dazzle,dazzle_poison_touch,cast,1,hero_phoenix
00:06:35.991,hero_morphling,morphling_morph_agi,on,1,hero_morphling
00:06:37.557,hero_morphling,morphling_morph_agi,off,1,hero_morphling
00:06:44.989,hero_monkey_king,monkey_king_boundless_strike,cast,1,hero_monkey_king
00:06:47.622,hero_monkey_king,monkey_king_mischief,cast,1,hero_monkey_king
00:06:48.221,hero_monkey_king,monkey_king_untransform,cast,1,hero_monkey_king
00:06:59.785,hero_morphling,morphling_morph_agi,on,1,hero_morphling
00:07:01.518,hero_morphling,morphling_morph_agi,off,1,hero_morphling
00:07:01.618,hero_phoenix,phoenix_fire_spirits,cast,1,hero_phoenix
00:07:01.951,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:07:02.118,hero_morphling,morphling_adaptive_strike_agi,cast,1,creep_badguys_ranged
00:07:02.218,hero_dazzle,dazzle_poison_touch,cast,1,hero_phoenix
00:07:02.318,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:07:04.917,hero_silencer,silencer_curse_of_the_silent,cast,1,hero_silencer
00:07:05.850,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:07:07.650,hero_dark_willow,dark_willow_bramble_maze,cast,1,hero_dark_willow
00:07:10.049,hero_dazzle,dazzle_shadow_wave,cast,1,creep_goodguys_melee
00:07:13.815,hero_morphling,morphling_morph_agi,on,1,hero_morphling
00:07:14.015,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:07:15.948,hero_morphling,morphling_morph_agi,off,1,hero_morphling
00:07:18.614,hero_abaddon,abaddon_aphotic_shield,cast,1,hero_abaddon
00:07:25.079,hero_dazzle,dazzle_shadow_wave,cast,1,creep_goodguys_melee
00:07:34.077,hero_dark_willow,dark_willow_shadow_realm,cast,1,hero_dark_willow
00:07:39.609,hero_dazzle,dazzle_poison_touch,cast,1,hero_dark_willow
00:07:40.675,hero_silencer,silencer_curse_of_the_silent,cast,1,hero_silencer
00:07:41.275,hero_morphling,morphling_morph_agi,on,1,hero_morphling
00:07:42.042,hero_morphling,morphling_morph_agi,off,1,hero_morphling
00:07:45.974,hero_morphling,morphling_adaptive_strike_agi,cast,1,hero_dark_willow
00:07:47.674,hero_phoenix,phoenix_fire_spirits,cast,1,hero_phoenix
00:07:47.907,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:07:48.540,hero_morphling,morphling_morph_str,on,1,hero_morphling
00:07:52.072,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:07:53.072,hero_morphling,morphling_morph_str,off,1,hero_morphling
00:07:56.738,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:08:00.204,hero_phoenix,phoenix_launch_fire_spirit,cast,1,hero_phoenix
00:08:01.803,hero_morphling,morphling_morph_agi,on,1,hero_morphling
00:08:02.670,hero_dark_willow,dark_willow_bramble_maze,cast,1,hero_dark_willow
00:08:03.303,hero_morphling,morphling_morph_agi,off,1,hero_morphling
00:08:03.703,hero_pudge,pudge_rot,on,1,hero_pudge
00:08:03.936,hero_pudge,pudge_rot,off,1,hero_pudge
00:08:04.769,hero_morphling,morphling_adaptive_strike_agi,cast,1,creep_badguys_ranged
00:08:07.635,hero_phoenix,phoenix_icarus_dive,cast,1,hero_phoenix
00:08:07.735,hero_monkey_king,monkey_king_mischief,cast,1,hero_monkey_king
00:08:08.668,hero_morphling,morphling_morph_str,on,1,hero_morphling
00:08:09.635,hero_phoenix,phoenix_icarus_dive_stop,cast,1,hero_phoenix
00:08:10.935,hero_dark_willow,dark_willow_shadow_realm,cast,1,hero_dark_willow
00:08:16.533,hero_morphling,morphling_morph_str,off,1,hero_morphling
00:08:17.966,hero_pudge,pudge_rot,on,1,hero_pudge
00:08:18.299,hero_pudge,pudge_rot,off,1,hero_pudge
00:08:21.665,hero_silencer,silencer_curse_of_the_silent,cast,1,hero_silencer
00:08:23.165,hero_pudge,pudge_rot,on,1,hero_pudge
00:08:24.031,hero_abaddon,abaddon_aphotic_shield,cast,1,hero_abaddon
00:08:24.398,hero_pudge,pudge_rot,off,1,hero_pudge
00:08:25.198,hero_morphling,morphling_adaptive_strike_agi,cast,1,creep_badguys_melee
00:08:30.163,hero_morphling,morphling_morph_agi,on,1,hero_morphling
00:08:31.596,hero_morphling,morphling_morph_agi,off,1,hero_morphling
00:08:36.362,hero_morphling,morphling_morph_agi,on,1,hero_morphling
00:08:36.428,hero_huskar,huskar_inner_fire,cast,1,hero_huskar
00:08:39.994,hero_monkey_king,monkey_king_boundless_strike,cast,2,hero_monkey_king
00:08:41.261,hero_morphling,morphling_morph_agi,off,1,hero_morphling
00:08:43.160,hero_morphling,morphling_morph_agi,on,1,hero_morphling
00:08:47.992,hero_morphling,morphling_morph_agi,off,1,hero_morphling
00:08:51.158,hero_phoenix,phoenix_fire_spirits,cast,2,hero_phoenix
00:08:51.391,hero_phoenix,phoenix_launch_fire_spirit,cast,2,hero_phoenix
00:08:53.458,hero_dark_willow,dark_willow_bramble_maze,cast,1,hero_dark_willow
00:08:53.757,hero_dark_willow,dark_willow_shadow_realm,cast,2,hero_dark_willow
00:08:54.624,hero_morphling,morphling_morph_str,on,1,hero_morphling
00:08:54.990,hero_phoenix,phoenix_icarus_dive,cast,1,hero_phoenix
00:08:55.490,hero_phoenix,phoenix_launch_fire_spirit,cast,2,hero_phoenix
00:08:56.157,hero_phoenix,phoenix_launch_fire_spirit,cast,2,hero_phoenix
00:08:56.423,hero_phoenix,phoenix_icarus_dive_stop,cast,1,hero_phoenix
00:08:57.890,hero_dazzle,dazzle_poison_touch,cast,1,hero_phoenix
00:08:59.523,hero_dazzle,dazzle_shadow_wave,cast,1,hero_dazzle
00:08:59.989,hero_phoenix,phoenix_launch_fire_spirit,cast,2,hero_phoenix
00:09:04.355,hero_pudge,pudge_rot,on,1,hero_pudge
00:09:05.121,hero_pudge,pudge_rot,off,1,hero_pudge
00:09:07.621,hero_pudge,pudge_rot,on,1,hero_pudge
00:09:08.254,hero_pudge,pudge_rot,off,1,hero_pudge
00:09:10.887,hero_morphling,morphling_morph_agi,on,1,hero_morphling
00:09:15.186,hero_morphling,morphling_morph_agi,off,1,hero_morphling
00:09:17.385,hero_monkey_king,monkey_king_mischief,cast,1,hero_monkey_king
00:09:20.818,hero_morphling,morphling_adaptive_strike_agi,cast,1,creep_badguys_melee
00:09:22.584,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:09:24.683,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:09:25.016,hero_huskar,huskar_inner_fire,cast,1,hero_huskar
00:09:26.116,hero_pudge,pudge_rot,on,1,hero_pudge
00:09:26.383,hero_pudge,pudge_rot,off,1,hero_pudge
00:09:26.849,hero_monkey_king,monkey_king_boundless_strike,cast,2,hero_monkey_king
00:09:30.648,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:09:30.782,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:09:34.614,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:09:34.914,hero_pudge,pudge_rot,on,1,hero_pudge
00:09:35.147,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:09:35.980,hero_morphling,morphling_adaptive_strike_agi,cast,1,creep_badguys_ranged
00:09:36.414,hero_abaddon,abaddon_aphotic_shield,cast,2,hero_abaddon
00:09:36.447,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:09:36.847,hero_pudge,pudge_rot,off,1,hero_pudge
00:09:37.947,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:09:38.447,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:09:38.580,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:09:41.479,hero_monkey_king,monkey_king_mischief,cast,1,hero_monkey_king
00:09:42.279,hero_monkey_king,monkey_king_untransform,cast,1,hero_monkey_king
00:09:44.145,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:09:44.312,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:09:52.277,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:09:52.443,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:09:52.743,hero_monkey_king,monkey_king_boundless_strike,cast,2,hero_monkey_king
00:09:57.075,hero_silencer,silencer_curse_of_the_silent,cast,1,hero_silencer
00:09:57.609,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:09:57.742,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:10:01.241,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:10:01.374,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:10:04.374,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:10:04.507,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:10:06.473,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:10:06.606,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:10:10.972,hero_morphling,morphling_adaptive_strike_agi,cast,1,hero_dark_willow
00:10:15.138,hero_phoenix,phoenix_fire_spirits,cast,2,hero_phoenix
00:10:15.871,hero_phoenix,phoenix_launch_fire_spirit,cast,2,hero_phoenix
00:10:15.971,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:10:16.037,hero_phoenix,phoenix_launch_fire_spirit,cast,2,hero_phoenix
00:10:16.137,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:10:18.737,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:10:18.870,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:10:21.103,hero_phoenix,phoenix_launch_fire_spirit,cast,2,hero_phoenix
00:10:21.569,hero_dark_willow,dark_willow_bramble_maze,cast,1,hero_dark_willow
00:10:25.135,hero_dazzle,dazzle_poison_touch,cast,2,hero_dark_willow
00:10:28.768,hero_dark_willow,dark_willow_shadow_realm,cast,2,hero_dark_willow
00:10:31.567,hero_phoenix,phoenix_launch_fire_spirit,cast,2,hero_phoenix
00:10:32.500,hero_morphling,morphling_morph_str,on,2,hero_morphling
00:10:33.833,hero_morphling,morphling_morph_str,off,2,hero_morphling
00:10:35.099,hero_morphling,morphling_adaptive_strike_str,cast,1,hero_monkey_king
00:10:36.132,hero_dazzle,dazzle_shadow_wave,cast,1,hero_morphling
00:10:36.799,hero_monkey_king,monkey_king_boundless_strike,cast,2,hero_monkey_king
00:10:41.564,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:10:44.597,hero_dark_willow,dark_willow_bramble_maze,cast,1,hero_dark_willow
00:10:44.897,hero_morphling,morphling_adaptive_strike_agi,cast,1,hero_monkey_king
00:10:45.297,hero_monkey_king,monkey_king_mischief,cast,1,hero_monkey_king
00:10:45.430,hero_monkey_king,monkey_king_untransform,cast,1,hero_monkey_king
00:10:46.297,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:10:46.430,hero_abaddon,abaddon_aphotic_shield,cast,2,lone_druid_bear2
00:10:47.663,hero_pudge,pudge_rot,on,2,hero_pudge
00:10:48.130,hero_pudge,pudge_rot,off,2,hero_pudge
00:10:52.928,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:10:53.795,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:10:55.894,hero_phoenix,phoenix_fire_spirits,cast,2,hero_phoenix
00:10:56.228,hero_phoenix,phoenix_launch_fire_spirit,cast,2,hero_phoenix
00:10:57.561,hero_phoenix,phoenix_launch_fire_spirit,cast,2,hero_phoenix
00:10:59.660,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:11:01.426,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:11:02.959,hero_abaddon,abaddon_aphotic_shield,cast,2,hero_abaddon
00:11:03.559,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:11:03.692,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:11:05.025,hero_phoenix,phoenix_launch_fire_spirit,cast,2,hero_phoenix
00:11:06.325,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:11:06.492,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:11:09.124,hero_morphling,morphling_morph_agi,on,2,hero_morphling
00:11:09.258,hero_morphling,morphling_morph_agi,off,2,hero_morphling
00:11:10.024,hero_phoenix,phoenix_launch_fire_spirit,cast,2,hero_phoenix
00:11:10.191,hero_lone_druid,lone_druid_spirit_bear,cast,2,hero_lone_druid
00:11:12.157,hero_morphling,morphling_morph_agi,on,2,hero_morphling
