time,target,attacker
00:05:39.338,creep_goodguys_ranged,hero_monkey_king
00:05:47.336,creep_goodguys_melee,creep_badguys_melee
00:05:48.836,creep_badguys_melee,hero_morphling
00:05:49.469,creep_goodguys_melee,creep_badguys_ranged
00:05:51.069,creep_goodguys_ranged,creep_badguys_melee
00:05:55.334,creep_goodguys_melee,hero_huskar
00:05:56.434,creep_goodguys_melee,creep_badguys_melee
00:05:58.000,creep_goodguys_melee,creep_badguys_ranged
00:05:59.500,creep_badguys_melee,creep_goodguys_ranged
00:06:01.666,seasonal_cny_balloon,seasonal_cny_balloon
00:06:02.333,creep_badguys_melee,lone_druid_bear1
00:06:02.433,creep_goodguys_melee,creep_badguys_ranged
00:06:03.532,creep_goodguys_melee,hero_abaddon
00:06:04.465,creep_badguys_melee,hero_morphling
00:06:04.999,seasonal_cny_balloon,seasonal_cny_balloon
00:06:05.898,creep_goodguys_melee,hero_phoenix
00:06:07.165,creep_badguys_melee,hero_huskar
00:06:08.031,creep_goodguys_melee,creep_badguys_ranged
00:06:08.898,creep_goodguys_melee,creep_badguys_melee
00:06:10.164,creep_badguys_melee,hero_huskar
00:06:10.231,creep_goodguys_melee,hero_monkey_king
00:06:12.730,creep_goodguys_ranged,creep_badguys_ranged
00:06:12.930,creep_badguys_melee,creep_goodguys_melee
00:06:13.996,creep_goodguys_melee,hero_monkey_king
00:06:15.663,creep_badguys_ranged,hero_phoenix
00:06:17.062,creep_badguys_melee,hero_pudge
00:06:17.129,creep_goodguys_ranged,hero_monkey_king
00:06:17.629,creep_badguys_melee,goodguys_tower1_mid
00:06:17.696,creep_goodguys_melee,creep_badguys_ranged
00:06:19.029,creep_badguys_melee,hero_dark_willow
00:06:20.628,creep_goodguys_melee,hero_lone_druid
00:06:21.994,creep_goodguys_ranged,creep_badguys_melee
00:06:23.661,creep_badguys_melee,hero_huskar
00:06:24.860,creep_goodguys_melee,lone_druid_bear1
00:06:25.294,creep_goodguys_melee,creep_badguys_ranged
00:06:25.927,creep_goodguys_melee,hero_phoenix
00:06:26.527,creep_badguys_ranged,hero_huskar
00:06:28.893,creep_badguys_ranged,hero_huskar
00:06:29.059,creep_badguys_melee,creep_goodguys_ranged
00:06:30.026,creep_badguys_melee,goodguys_tower1_mid
00:06:31.992,creep_badguys_melee,creep_goodguys_ranged
00:06:34.691,creep_goodguys_melee,creep_badguys_ranged
00:06:34.891,creep_badguys_melee,hero_pudge
00:06:37.991,creep_badguys_melee,hero_pudge
00:06:38.157,creep_badguys_melee,goodguys_tower1_mid
00:06:38.424,creep_goodguys_melee,hero_abaddon
00:06:40.023,creep_badguys_ranged,hero_dark_willow
00:06:40.323,creep_badguys_melee,goodguys_tower1_top
00:06:41.790,creep_goodguys_ranged,hero_morphling
00:06:42.789,creep_badguys_melee,creep_goodguys_ranged
00:06:43.822,creep_badguys_melee,goodguys_tower1_top
00:06:46.555,creep_goodguys_melee,hero_pudge
00:06:47.722,creep_badguys_melee,hero_dark_willow
00:06:47.921,creep_goodguys_melee,creep_badguys_ranged
00:06:48.355,creep_badguys_melee,creep_goodguys_melee
00:06:49.754,creep_badguys_ranged,hero_pudge
00:06:51.187,creep_goodguys_melee,hero_abaddon
00:06:51.887,creep_badguys_ranged,hero_huskar
00:06:54.820,creep_badguys_melee,hero_morphling
00:06:56.386,hero_huskar,hero_monkey_king
00:06:57.053,creep_badguys_ranged,hero_pudge
00:06:58.052,creep_badguys_melee,hero_morphling
00:06:58.452,hero_monkey_king,hero_huskar
00:06:59.719,neutral_centaur_khan,hero_lone_druid
00:07:00.052,creep_goodguys_ranged,hero_pudge
00:07:02.518,creep_badguys_ranged,hero_morphling
00:07:04.784,creep_goodguys_melee,creep_badguys_melee
00:07:05.717,neutral_centaur_outrunner,creep_badguys_melee
00:07:07.517,neutral_centaur_outrunner,creep_badguys_melee
00:07:08.217,creep_badguys_melee,creep_goodguys_melee
00:07:10.249,creep_badguys_melee,creep_goodguys_ranged
00:07:12.549,creep_goodguys_melee,creep_badguys_ranged
00:07:14.448,creep_badguys_melee,creep_goodguys_melee
00:07:16.181,creep_goodguys_ranged,hero_lone_druid
00:07:16.681,creep_goodguys_ranged,hero_phoenix
00:07:17.048,creep_goodguys_melee,creep_badguys_melee
00:07:17.981,creep_badguys_ranged,creep_goodguys_ranged
00:07:18.014,creep_goodguys_melee,creep_badguys_melee
00:07:18.147,creep_goodguys_melee,hero_monkey_king
00:07:19.380,creep_goodguys_melee,hero_monkey_king
00:07:22.046,creep_goodguys_melee,hero_monkey_king
00:07:23.379,creep_goodguys_melee,creep_badguys_melee
00:07:24.579,creep_goodguys_ranged,hero_monkey_king
00:07:25.079,creep_badguys_melee,hero_dazzle
00:07:25.846,creep_badguys_melee,creep_goodguys_ranged
00:07:26.412,creep_goodguys_melee,hero_monkey_king
00:07:26.779,creep_badguys_ranged,hero_abaddon
00:07:27.012,creep_badguys_melee,hero_morphling
00:07:27.045,creep_goodguys_melee,creep_badguys_ranged
00:07:27.645,creep_goodguys_melee,creep_badguys_melee
00:07:29.078,creep_goodguys_ranged,hero_monkey_king
00:07:30.678,creep_badguys_melee,hero_silencer
00:07:31.444,creep_goodguys_melee,badguys_tower1_mid
00:07:32.844,creep_badguys_ranged,hero_dark_willow
00:07:36.710,creep_badguys_melee,hero_abaddon
00:07:37.676,creep_badguys_melee,creep_goodguys_melee
00:07:39.942,creep_goodguys_melee,hero_pudge
00:07:40.242,creep_goodguys_melee,hero_monkey_king
00:07:40.342,creep_goodguys_melee,hero_phoenix
00:07:40.542,creep_badguys_melee,hero_abaddon
00:07:41.875,creep_badguys_melee,creep_goodguys_melee
