time,target,value
00:03:42.685,hero_morphling,600
00:03:42.718,hero_huskar,600
00:03:42.718,hero_silencer,600
00:03:42.751,hero_pudge,600
00:03:42.751,hero_dazzle,600
00:03:42.785,hero_monkey_king,600
00:03:42.818,hero_lone_druid,600
00:03:42.818,hero_abaddon,600
00:03:42.851,hero_phoenix,600
00:03:42.851,hero_dark_willow,600
00:04:07.823,hero_silencer,50
00:04:14.625,hero_monkey_king,70
00:05:12.811,hero_abaddon,40
00:05:12.811,hero_dark_willow,40
00:05:12.811,hero_phoenix,40
00:05:12.811,hero_lone_druid,40
00:05:12.811,hero_monkey_king,40
00:05:12.845,hero_dark_willow,40
00:05:12.845,hero_phoenix,40
00:05:12.845,hero_lone_druid,40
00:05:12.845,hero_abaddon,40
00:05:12.845,hero_monkey_king,40
00:05:24.575,hero_phoenix,40
00:05:24.575,hero_lone_druid,40
00:05:24.575,hero_abaddon,40
00:05:24.575,hero_monkey_king,40
00:05:24.575,hero_dark_willow,40
00:05:26.675,hero_dazzle,40
00:05:26.675,hero_morphling,40
00:05:26.675,hero_pudge,40
00:05:26.675,hero_silencer,40
00:05:26.675,hero_huskar,40
00:05:39.338,hero_monkey_king,56
00:05:48.836,hero_morphling,38
00:05:55.334,hero_huskar,6
00:06:02.333,hero_lone_druid,7
00:06:03.532,hero_abaddon,32
00:06:04.465,hero_morphling,33
00:06:05.898,hero_phoenix,36
00:06:07.165,hero_huskar,37
00:06:10.164,hero_huskar,35
00:06:10.231,hero_monkey_king,37
00:06:13.996,hero_monkey_king,33
00:06:15.663,hero_phoenix,11
00:06:17.062,hero_pudge,33
00:06:17.129,hero_monkey_king,49
00:06:19.029,hero_dark_willow,6
00:06:20.628,hero_lone_druid,32
00:06:23.661,hero_huskar,34
00:06:24.860,hero_lone_druid,37
00:06:25.927,hero_phoenix,32
00:06:26.527,hero_huskar,56
00:06:28.893,hero_huskar,56
00:06:34.891,hero_pudge,36
00:06:37.991,hero_pudge,37
00:06:38.424,hero_abaddon,32
00:06:40.023,hero_dark_willow,11
00:06:41.790,hero_morphling,11
00:06:46.555,hero_pudge,7
00:06:47.722,hero_dark_willow,6
00:06:49.754,hero_pudge,49
00:06:51.187,hero_abaddon,38
00:06:51.887,hero_huskar,51
00:06:54.820,hero_morphling,36
00:06:56.386,hero_huskar,-24
00:06:56.386,hero_monkey_king,284
00:06:56.386,hero_monkey_king,66
00:06:57.053,hero_pudge,52
00:06:57.253,hero_phoenix,250
00:06:58.052,hero_morphling,37
00:06:58.452,hero_monkey_king,-33
